 (Half Day),（半天）
Item {0} does not exist,商品{0}不存在
Item {0} does not exist in the system or has expired,商品{0}不存在或已过期
Item {0} does not exist in {1} {2},商品{0}不存在于{1} {2}
Item {0} has already been returned,商品{0}已被退回
Item {0} has been entered multiple times against same operation,商品{0}已多次输入相同的操作
Item {0} has been entered multiple times with same description or date,商品{0}已多次输入有相同的描述或日期
Item {0} has been entered multiple times with same description or date or warehouse,商品{0}已多次输入有相同的描述或日期或仓库
Item {0} has been entered twice,商品{0}已被输入两次
Item {0} has reached its end of life on {1},商品{0}已达到其生命周期的末尾{1}
Item {0} ignored since it is not a stock item,商品{0}被忽略，因为它不是一个库存商品
Item {0} is cancelled,商品{0}将被取消
Item {0} is not Purchase Item,商品{0}不是可购买商品
Item {0} is not a serialized Item,商品{0}不是一个可序列化的商品
Item {0} is not a stock Item,商品{0}不是一个库存商品
Item {0} is not active or end of life has been reached,商品{0}非有效状态或生命周期已到尽头
Item {0} is not setup for Serial Nos. Check Item master,商品{0}没有设置序列号请检查主数据
Item {0} is not setup for Serial Nos. Column must be blank,商品{0}没有设置序列号请将列留空
Item {0} must be Sales Item,商品{0}必须是可销售商品
Item {0} must be Sales or Service Item in {1},商品{0}必须是可销售商品或服务型商品{1}
Item {0} must be Service Item,商品{0}必须是服务型商品
Item {0} must be a Purchase Item,服务型商品{0}必须是一个可采购商品
Item {0} must be a Sales Item,商品{0}必须是可销售商品
Item {0} must be a Service Item.,商品{0}必须是服务型商品
Item {0} must be a Sub-contracted Item,商品{0}必须是一个分包商品
Item {0} must be a stock Item,商品{0}必须是一个库存商品
Item {0} must be manufactured or sub-contracted,商品{0}必须是生产或分包商品
Item {0} not found,商品{0}未找到
Item {0} with Serial No {1} is already installed,序列号{1}的商品{0}已经安装
Item {0} with same description entered twice,商品{0}相同的描述已输入两次
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.",当选择序号后商品以及商品的质保维护信息等都将被自动的提取出来
Item-wise Price List Rate,商品价格单率
Item-wise Purchase History,商品购买历史
Item-wise Purchase Register,商品购买登记
Item-wise Sales History,商品销售历史
Item-wise Sales Register,商品销售登记
"Item: {0} managed batch-wise, can not be reconciled using \
					Stock Reconciliation, instead use Stock Entry",商品: {0}是基于批次的因此不能使用盘库工具而应该用库存录入功能
Item: {0} not found in the system,商品:{0}没有在系统中找到
Items,商品
Items To Be Requested,所需商品
Items required,所需商品
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",有需要而又"缺货"的商品得根据预计数量和最小起订量为所有仓库优化
Items which do not exist in Item master can also be entered on customer's request,在商品主数据不存在的商品页可以基于用户的需求进行输入
Itemwise Discount,商品折扣
Itemwise Recommended Reorder Level,商品推荐的记录层次
Job Applicant,求职者
Job Opening,待招职位
Job Profile,工作简介
Job Title,职位
"Job profile, qualifications required etc.",所需的工作概况，学历等
Jobs Email Settings,工作邮件设置
Journal Entries,日记帐分录
Journal Entry,日记帐分录
Journal Voucher,记帐凭证
Journal Voucher Detail,日记帐凭证明细
Journal Voucher Detail No,日记帐凭证明细号
Journal Voucher {0} does not have account {1} or already matched,记账凭单{0}没有帐号{1}或已经匹配
Journal Vouchers {0} are un-linked,日记帐凭单{0}被取消链接
Keep a track of communication related to this enquiry which will help for future reference.,保持沟通的跟踪记录，这将有助于将来参考
Keep it web friendly 900px (w) by 100px (h),保持Web友好900px （宽）x 100像素（高）
Key Performance Area,关键绩效
Key Responsibility Area,关键责任
Kg,公斤
LR Date,LR日期
LR No,LR编号
Label,标签
Landed Cost Item,到岸成本项
Landed Cost Items,到岸成本项
Landed Cost Purchase Receipt,外购入库单到岸成本
Landed Cost Purchase Receipts,外购入库单到岸成本
Landed Cost Wizard,到岸成本向导
Landed Cost updated successfully,到岸成本成功更新
Language,语言
Last Name,名
Last Purchase Rate,Last Purchase Rate
Latest,最新
Lead,销售引子
Lead Details,销售引子详情
Lead Id,销售引子Id
Lead Name,销售引子名称
Lead Owner,销售引子所有者
Lead Source,销售引子销售引子源
Lead Status,销售引子状态
Lead Time Date,交货时间日期
Lead Time Days,交货期(天数)
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,交货期天数是商品预计将在您的仓库的天数。在物料请求中选择这个商品那么这个天数会被拿出来
Lead Type,销售引子类型
Lead must be set if Opportunity is made from Lead,如果机会是由销售引子创建而来则销售引子必须创建出来
Leave Allocation,休假类别
Leave Allocation Tool,休假工具
Leave Application,休假申请
Leave Approver,休假审批者
Leave Approvers,休假审批者
Leave Balance Before Application,申请前结存天数
Leave Block List,Leave Block列表
Leave Block List Allow,允许的Leave Block列表
Leave Block List Allowed,允许的Leave Block列表
Leave Block List Date,Leave Block日期列表
Leave Block List Dates,Leave Block日期列表
Leave Block List Name,Leave Block名称
Leave Blocked,禁止休假
Leave Control Panel,休假控制台
Leave Encashed?,Leave Encashed?
Leave Encashment Amount,假期兑现金额
Leave Type,休假类型
Leave Type Name,休假类型名称
Leave Without Pay,无薪假
Leave application has been approved.,休假申请已被批准
Leave application has been rejected.,休假申请已被拒绝
Leave approver must be one of {0},休假审批人必须是{0}中的一个
Leave blank if considered for all branches,如果应用于所有分支请留空
Leave blank if considered for all departments,如果应用于所有部门请留空
Leave blank if considered for all designations,如果应用于所有职位请留空
Leave blank if considered for all employee types,如果应用于员工类型请留空
"Leave can be approved by users with Role, ""Leave Approver""",休假由被授权的角色'休假审批'的人进行审批
Leave of type {0} cannot be longer than {1},休假类型{0}不能长于{1}
Leaves Allocated Successfully for {0},{0}已被成功分配休假类别
Leaves for type {0} already allocated for Employee {1} for Fiscal Year {0},财政年度{0}员工{1}已分配允许的休假类别{0}
Leaves must be allocated in multiples of 0.5,Leaves must be allocated in multiples of 0.5
Ledger,分类账
Ledgers,分类账
Left,左边
Legal,法律
Legal Expenses,法律费用
Letter Head,信头
Letter Heads for print templates.,信头的打印模板
Level,级别
Lft,Lft
Liability,债务
List a few of your customers. They could be organizations or individuals.,列出一些你的客户;他们可以是组织或个人
List a few of your suppliers. They could be organizations or individuals.,列出一些你的供应商;他们可以是组织或个人
List items that form the package.,列出包里面的商品
List this Item in multiple groups on the website.,在网站上将此商品在多个组中显示出来
"List your products or services that you buy or sell. Make sure to check the Item Group, Unit of Measure and other properties when you start.",列出你买或者卖的产品和服务;请确保勾选商品组;单位以及其他一些属性
"List your tax heads (e.g. VAT, Excise; they should have unique names) and their standard rates. This will create a standard template, which you can edit and add more later.",列出你的税种（如增值税，消费税，他们应该有唯一的名称）及其标准费率
Loading...,载入中...
Loans (Liabilities),借款(负债)
Loans and Advances (Assets),贷款及垫款(资产)
Local,本地
Login with your new User ID,用你的新的用户ID登录
Logo,Logo
Logo and Letter Heads,和信头
Lost,失标
Lost Reason,失标的原因
Low,低
Lower Income,较低的收入
MTN Details,MTN详情
Main,主要的
Main Reports,主报告
Maintain Same Rate Throughout Sales Cycle,保持同样的速度在整个销售周期
Maintain same rate throughout purchase cycle,在整个采购周期保持同样的速度
Maintenance,维保
Maintenance Date,维保日期
Maintenance Details,维保细节
Maintenance Schedule,维保计划
Maintenance Schedule Detail,维保计划细节
Maintenance Schedule Item,维保计划项
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',不是所有的商品有维保计划产生出来。请点击'产生计划表'
Maintenance Schedule {0} exists against {0},{0}的维保时间表{0}存在
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,取消这个销售订单之前必须取消维保计划表{0}
Maintenance Schedules,维保时间表
Maintenance Status,维保状态
Maintenance Time,维保时间
Maintenance Type,维保类型
Maintenance Visit,维保访问
Maintenance Visit Purpose,维保访问目标
Maintenance Visit {0} must be cancelled before cancelling this Sales Order,取消这个销售订单之前必须取消维保访问{0}
Maintenance start date can not be before delivery date for Serial No {0},序列号{0}维护开始日期不能早于交付日期
Major/Optional Subjects,Major/Optional Subjects
Make ,使用/创建
Make Accounting Entry For Every Stock Movement,每次库存转移都进行财务记录
Make Bank Voucher,创建银行凭证
Make Credit Note,创建贷方凭证(应付款通知单)
Make Debit Note,创建借记通知单
Make Delivery,交货
Make Difference Entry,做不同的录入
Make Excise Invoice,创建消费税发票
Make Installation Note,创建安装注意事项
Make Invoice,创建发票
Make Maint. Schedule,创建维保计划
Make Maint. Visit,创建维保访问
Make Maintenance Visit,创建维保访问
Make Packing Slip,创建装箱单
Make Payment Entry,付款项
Make Purchase Invoice,创建采购发票
Make Purchase Order,创建采购订单
Make Purchase Receipt,创建采购收据
Make Salary Slip,创建工资单
Make Salary Structure,创建薪酬结构
Make Sales Invoice,创建销售发票
Make Sales Order,创建销售订单
Make Supplier Quotation,供应商报价
Male,男性
Manage Customer Group Tree.,管理客户组树形结构
Manage Sales Person Tree.,管理销售人员树形结构
Manage Territory Tree.,管理区域树形结构
Manage cost of operations,管理运营成本
Management,管理
Manager,经理
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.",如果是库存项目则必填并且默认的仓库由销售订单指明
Manufacture against Sales Order,制造销售的订单
Manufacture/Repack,制造/重新打包
Manufactured Qty,生产数量
Manufactured quantity will be updated in this warehouse,这个仓库生产数量将被更新
Manufactured quantity {0} cannot be greater than planned quanitity {1} in Production Order {2},生产订单{2}的制作的数量{0}不能大于计划的数量{1}
Manufacturer,生产厂家
Manufacturer Part Number,制造商零件编号
Manufacturing,制造业
Manufacturing Quantity,生产数量
Manufacturing Quantity is mandatory,生产数量是必填的
Margin,Margin
Marital Status,婚姻状况
Market Segment,市场分类
Marketing,市场营销
Marketing Expenses,市场推广开支
Married,已婚
Mass Mailing,邮件群发
Master Name,主数据名称
Master Name is mandatory if account type is Warehouse,如果帐户类型为仓库则主数据名称是强制性的
Master Type,主数据类型
Masters,Masters
Match non-linked Invoices and Payments.,匹配非联的发票和付款
Material Issue,物料问题
Material Receipt,物料收据
Material Request,物料请求
Material Request Detail No,物料请求详情编号
Material Request For Warehouse,仓库物料请求
Material Request Item,物料请求项
Material Request Items,物料请求项
Material Request No,物料请求编号
Material Request Type,物料请求类型
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},销售订单{2}的商品{1}的最大请求物料数是{0}
Material Request used to make this Stock Entry,用以创建库存记录的物料请求
Material Request {0} is cancelled or stopped,物料请求{0}已被取消或停止
Material Requests for which Supplier Quotations are not created,物料请求的供应商报价单未被创建
Material Requests {0} created,物料请求{0}已被创建
Material Requirement,物料需求
Material Transfer,物料转移
Materials,物料
Materials Required (Exploded),所需物料(分解的）
Max 5 characters,最多5个字符
Max Days Leave Allowed,最多允许假期
Max Discount (%),最大折扣(%)
Max Qty,最大数量
Maximum allowed credit is {0} days after posting date,最大允许的信用天数是{0}天从提交日算
Maximum {0} rows allowed,最多允许{0}行
Maxiumm discount for Item {0} is {1}%,商品{0}允许最大的折扣为 {1}%
Medical,医疗
Medium,中等
"Merging is only possible if following properties are same in both records. Group or Ledger, Root Type, Company",只有当两个记录的组或分类账目或者根类型或者公司一致时才能进行合并
Message,信息
Message Parameter,消息参数
Message Sent,消息已发送
Message updated,消息已更新
Messages,消息
Messages greater than 160 characters will be split into multiple messages,消息大于160个字符将被分拆为多个消息
Middle Income,中等收入
Milestone,里程碑
Milestone Date,里程碑日期
Milestones,里程碑
Milestones will be added as Events in the Calendar,里程碑将被添加为日历事件
Min Order Qty,最小订货量
Min Qty,最小数量
Min Qty can not be greater than Max Qty,最小数量不能大于最大数量
Minimum Order Qty,最低起订量
Minute,分钟
Misc Details,其它详细信息
Miscellaneous Expenses,杂项开支
Miscelleneous,杂项
Mobile No,手机号码
Mobile No.,手机号码
Mode of Payment,付款方式
Modern,现代
Modified Amount,修改的金额
Monday,星期一
Month,月
Monthly,每月
Monthly Attendance Sheet,每月考勤表
Monthly Earning & Deduction,每月入息和扣除
Monthly Salary Register,月薪登记
Monthly salary statement.,每月的工资报表
More Details,更多详情
More Info,更多信息
Motion Picture & Video,电影和视频
Moving Average,移动平均线
Moving Average Rate,Moving Average Rate
Mr,先生
Ms,女士
Multiple Item prices.,多个商品的价格
"Multiple Price Rule exists with same criteria, please resolve \
			conflict by assigning priority. Price Rules: {0}",相同条件下存在多个价格规则表;请给其赋予价格规则优先级别;价格规则:{0}
Music,音乐
Must be Whole Number,必须是整数
Name,名称
Name and Description,名称和说明
Name and Employee ID,姓名和雇员ID
"Name of new Account. Note: Please don't create accounts for Customers and Suppliers, they are created automatically from the Customer and Supplier master",新帐户的名称.请注意:不要为顾客和供应商创建账号;它们的账号会从顾客和供应商主数据中创建出来
Name of person or organization that this address belongs to.,这个地址从属于人或组织的名称
Name of the Budget Distribution,预算分配的名称
Naming Series,命名系列
Negative Quantity is not allowed,负数量是不允许的
Negative Stock Error ({6}) for Item {0} in Warehouse {1} on {2} {3} in {4} {5},Negative Stock Error ({6}) for Item {0} in Warehouse {1} on {2} {3} in {4} {5}
Negative Valuation Rate is not allowed,估值率为负是不允许的
Negative balance in Batch {0} for Item {1} at Warehouse {2} on {3} {4},Negative balance in Batch {0} for Item {1} at Warehouse {2} on {3} {4}
Net Pay,净支出
Net Pay (in words) will be visible once you save the Salary Slip.,保存工资单后净支出将可见
Net Total,总净值
Net Total (Company Currency),总净值(公司货币)
Net Weight,净重
Net Weight UOM,净重计量单位
Net Weight of each Item,每个商品的净重
Net pay cannot be negative,净支出不能为负
Never,没有
New ,新建
New Account,新建帐号
New Account Name,新帐号名称
New BOM,新的物料清单
New Communications,新的沟通
New Company,新建公司
New Cost Center,新建成本中心
New Cost Center Name,新的成本中心名称
New Delivery Notes,新建发货单
New Enquiries,新建查询
New Leads,新建销售引子
New Leave Application,新建休假申请
New Leaves Allocated,New Leaves Allocated
New Leaves Allocated (In Days),New Leaves Allocated (In Days)
New Material Requests,新建物料请求
New Projects,新建项目
New Purchase Orders,新建采购订单
New Purchase Receipts,新建采购收据
New Quotations,新建报价单
New Sales Orders,新建销售订单
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt
New Stock Entries,新建库存条目
New Stock UOM,新建库存计量单位
New Stock UOM is required,库存计量单位是必需的
New Stock UOM must be different from current stock UOM,新的库存计量单位必须和目前的库存计量单位不同
New Supplier Quotations,新建供应商报价
New Support Tickets,新建客户支持单
New UOM must NOT be of type Whole Number,新的计量单位不能是整数类型
New Workplace,New Workplace
Newsletter,简讯
Newsletter Content,简讯内容
Newsletter Status,简讯状态
Newsletter has already been sent,简讯已发送
Newsletters is not allowed for Trial users,试用用户不允许使用简讯功能
"Newsletters to contacts, leads.",给联系人以及销售引子的简讯
Newspaper Publishers,报纸出版商
Next,下一个
Next Contact By,下次有谁联系
Next Contact Date,下次联络日期
Next Date,下一个日期
Next email will be sent on:,接下来的电子邮件将被发送:
No,没有
No Customer Accounts found.,没有发现客户帐户
No Customer or Supplier Accounts found,没有找到客户或供应商账户
No Expense Approvers. Please assign 'Expense Approver' Role to atleast one user,没有指派费用审批人。请指定给至少一个用户'费用审批人'的角色
No Item with Barcode {0},条码{0}无商品对应
No Item with Serial No {0},序列号{0}无商品对应
No Items to pack,无可以打包项
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user,没有指派请假审批人。请指定给至少一个用户'请假审批人'的角色
No Permission,无权限
No Production Orders created,没有生产订单创建出来
No Supplier Accounts found. Supplier Accounts are identified based on 'Master Type' value in account record.,没有找到供应商账号;供应商账号是基于账号的'主数据类型'的值来区分的
No accounting entries for the following warehouses,以下仓库没有账户记录
No addresses created,没有创建任何地址信息
No contacts created,没有创建任何联系人信息
No default BOM exists for Item {0},商品{0}不存在默认的物料清单
No description given,未提供描述
No employee found,未发现员工
No employee found!,未发现员工!
No of Requested SMS,请求的短信数
No of Sent SMS,发送的短信数
No of Visits,访问次数
No permission,没有权限
No record found,没有找到相关记录
No salary slip found for month: ,没有发现的指定月的工资单:
Non Profit,非营利
Nos,Nos
Not Active,未激活
Not Applicable,不适用
Not Available,不可用
Not Billed,未付款
Not Delivered,未交付
Not Set,没有设置
Not allowed to update entries older than {0},不允许更新比{0}更旧的条目
Not authorized to edit frozen Account {0},无权修改冻结帐户{0}
Not authroized since {0} exceeds limits,因为{0}超出范围因此未被授权
Not permitted,不允许
Note,备注
Note User,用户注意
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.",注:备份和文件不会从Dropbox的删除，请手动删除它们
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.",注:备份和文件不能从谷歌驱动器中删除，请手动删除它们
Note: Due Date exceeds the allowed credit days by {0} day(s),注:截止日期超过了允许的信用度{0}天
Note: Email will not be sent to disabled users,注:电子邮件将不会被发送到被禁用的用户
Note: Item {0} entered multiple times,注:商品{0}被多次输入
Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified,注:因为"现金或银行帐户"未指定因此付款项将不会被创建
Note: System will not check over-delivery and over-booking for Item {0} as quantity or amount is 0,注:因为商品{0}的数量或金额为0因此系统将不会检查交付过多和超额预订的情况
Note: There is not enough leave balance for Leave Type {0},注:请假类型{0}没有足够的休假余量
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,注:该成本中心是组类型而系统不允许为组建立会计分录
Note: {0},注:{0}
Notes,注意事项
Notes:,注意事项:
Nothing to request,没有可请求的
Notice (days),通知(天)
Notification Control,通知控制
Notification Email Address,通知到电子邮件地址
Notify by Email on creation of automatic Material Request,在自动创建材料通知要求后通过电子邮件通知
Number Format,数字格式
Offer Date,要约日期
Office,办公室
Office Equipments,办公设备
Office Maintenance Expenses,办公室维护费用
Office Rent,办公室租金
Old Parent,Old Parent
On Net Total,在总净值
On Previous Row Amount,在前一行金额
On Previous Row Total,在前一行总和
Online Auctions,网上拍卖
Only Leave Applications with status 'Approved' can be submitted,仅仅是状态为"已批准"的休假申请才可以提交
"Only Serial Nos with status ""Available"" can be delivered.",只有序列号的状态为'可用的'的状态才能被交付
Only leaf nodes are allowed in transaction,只有叶节点才允许出现在交易中
Only the selected Leave Approver can submit this Leave Application,只有选定的休假申请审批人才能提交这个休假申请
Open,开放的
Open Production Orders,未完成的生产订单
Open Tickets,未关闭的客户支持单
Open source ERP built for the web,基于Web的ERP
Opening (Cr),开放(CR)
Opening (Dr),开放(Dr)
Opening Date,开放日期
Opening Entry,Opening Entry
Opening Qty,开放数量
Opening Time,开放时间
Opening Value,Opening Value
Opening for a Job.,招聘中的职位
Operating Cost,营业成本
Operation Description,操作说明
Operation No,操作号
Operation Time (mins),操作时间（分钟）
Operation {0} is repeated in Operations Table,操作表中操作{0}已重复
Operation {0} not present in Operations Table,操作表中操作{0}不存在
Operations,操作
Opportunity,机会
Opportunity Date,日期机会
Opportunity From,从机会
Opportunity Item,有机会的商品
Opportunity Items,有机会的商品
Opportunity Lost,失去的机会
Opportunity Type,机会类型
Optional. This setting will be used to filter in various transactions.,可选的;此设置将被应用于各种交易的过滤
Order Type,订单类型
Order Type must be one of {1},订单类型必须是{1}中的一个
Ordered,已订购
Ordered Items To Be Billed,需要付款的订购商品
Ordered Items To Be Delivered,需要交付的订购商品
Ordered Qty,订购数量
"Ordered Qty: Quantity ordered for purchase, but not received.",订购数量:订购的数量已采购但还没有接收到
Ordered Quantity,订购数量
Orders released for production.,开放给生产的订单
Organization Name,组织名称
Organization Profile,组织简介
Organization branch master.,组织分支主数据
Organization unit (department) master.,组织单位(部门)的主数据
Original Amount,原来的金额
Other,其他
Other Details,其他详细信息
Others,他人
Out Qty,输出数量
Out Value,Out Value
Out of AMC,Out of AMC
Out of Warranty,超出保修期
Outgoing,Outgoing
Outstanding Amount,余额
Outstanding for {0} cannot be less than zero ({1}),Outstanding for {0} cannot be less than zero ({1})
Overhead,开销
Overheads,开销
Overlapping conditions found between:,条件之间存在重叠的;
Overview,概览
Owned,被拥有
Owner,所有者
PL or BS,PL或BS
PO Date,生产订单(PO)日期
PO No,生产订单(PO)编号
POP3 Mail Server,POP3邮件服务器
POP3 Mail Settings,POP3邮件设定
POP3 mail server (e.g. pop.gmail.com),POP3邮件服务器（如：pop.gmail.com）
POP3 server e.g. (pop.gmail.com),POP3服务器如（pop.gmail.com）
POS Setting,POS机设置
POS Setting required to make POS Entry,在使用POS机输入前需设置POS机
POS Setting {0} already created for user: {1} and company {2},用户:{1}和公司{2}的POS机设置{0}已创建
POS View,POS试图
PR Detail,PR明细
PR Posting Date,PR寄发日期
Package Item Details,包装商品明细
Package Items,包装商品
Package Weight Details,包装重量明细
Packed Item,已打包商品
Packed quantity must equal quantity for Item {0} in row {1},第{1}行商品{0}的数量必须与打包的数量一致
Packing Details,装箱明细
Packing List,包装清单
Packing Slip,装箱单
Packing Slip Item,装箱单商品
Packing Slip Items,装箱单商品
Packing Slip(s) cancelled,装箱单已取消
Page Break,分页符
Page Name,网页名称
Paid Amount,支付的金额
Paid amount + Write Off Amount can not be greater than Grand Total,支付的金额+ 抵销金额不能大于总计
Pair,成对
Parameter,参数
Parent Account,帐户父节点
Parent Cost Center,成本中心父节点
Parent Customer Group,客户组父节点
Parent Detail docname,Parent Detail docname家长可采用DocName细节
Parent Item,Parent Item
Parent Item Group,Parent Item Group
Parent Item {0} must be not Stock Item and must be a Sales Item,Parent Item {0} must be not Stock Item and must be a Sales Item
Parent Party Type,Parent Party Type
Parent Sales Person,母公司销售人员
Parent Territory,母公司区域
Parent Website Page,父网站页面
Parent Website Route,Parent Website Route
Parent account can not be a ledger,父帐户不能是一个分类账目录
Parent account does not exist,父帐户不存在
Parenttype,Parenttype
Part-time,兼任
Partially Completed,部分完成
Partly Billed,部分付款
Partly Delivered,部分交付
Partner Target Detail,合作伙伴目标
Partner Type,合作伙伴类型
Partner's Website,合作伙伴的网站
Party Type,Party Type
Party Type Name,Party Type Name
Passive,被动的
Passport Number,护照号码
Password,密码
Pay To / Recd From,支付给/ 从某处接收
Payable,应付账款
Payables,应付账款
Payables Group,应付账款组
Payment Days,付款日
Payment Due Date,付款到期日
Payment Period Based On Invoice Date,基于发票日期的付款日
Payment Type,付款类型
Payment of salary for the month {0} and year {1},{1}年{0}月和工资支付
Payment to Invoice Matching Tool,付款发票匹配工具
Payment to Invoice Matching Tool Detail,付款发票匹配工具详细
Payments,付款
Payments Made,支付的款项
Payments Received,收到的付款
Payments made during the digest period,Payments made during the digest period
Payments received during the digest period,Payments received during the digest period
Payroll Settings,薪资设置
Pending,等待
Pending Amount,未付金额
Pending Items {0} updated,商品{0}已更新
Pending Review,等待审核
Pending SO Items For Purchase Request,Pending SO Items For Purchase Request
Pension Funds,养老金
Percent Complete,完成百分比
Percentage Allocation,分配的百分比
Percentage Allocation should be equal to 100%,分配的百分比应该等于100%
Percentage variation in quantity to be allowed while receiving or delivering this item.,在接收或交付中被允许的数量上的变化百分比。
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,被允许接收或交付订购的数量的变化百分比的最大值。例如：如果您订购100个单位。变化范围是10％，那么允许接收110个至多
Performance appraisal.,绩效考核
Period,期间
Period Closing Voucher,期末结账凭证
Periodicity,周期性
Permanent Address,永久地址
Permanent Address Is,永久地址是
Permission,权限
Personal,个人
Personal Details,个人资料
Personal Email,个人电子邮件
Pharmaceutical,药物
Pharmaceuticals,药物
Phone,电话
Phone No,电话号码
Piecework,计件工作
Pincode,PIN码
Place of Issue,签发地
Plan for maintenance visits.,维保访问计划
Planned Qty,计划的数量
"Planned Qty: Quantity, for which, Production Order has been raised, but is pending to be manufactured.",计划的数量:生产订单的数量正在等待被制造
Planned Quantity,计划的数量
Planning,计划
Plant,厂
Plant and Machinery,厂房及机器
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,请输入恰当的缩写或简称，因为它会被添加为所有帐户的后缀。
Please add expense voucher details,请新增支出凭单明细
Please check 'Is Advance' against Account {0} if this is an advance entry.,Please check 'Is Advance' against Account {0} if this is an advance entry.
Please click on 'Generate Schedule',请点击'生成计划'
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},请点击'生成计划'来获取商品{0}的已增序列号
Please click on 'Generate Schedule' to get schedule,请在'生成计划'点击获取计划表
Please create Customer from Lead {0},请根据销售引子建立客户{0}
Please create Salary Structure for employee {0},请为员工建立薪酬结构{0}
Please create new account from Chart of Accounts.,请为会计科目表创建新帐户
Please do NOT create Account (Ledgers) for Customers and Suppliers. They are created directly from the Customer / Supplier masters.,请不要为客户及供应商建立的帐户(总帐)因为他们会直接从客户/供应商创造的主数据中创建出来
Please enter 'Expected Delivery Date',请输入预计交付日期
Please enter 'Is Subcontracted' as Yes or No,请勾选'是分包' 是或者否
Please enter 'Repeat on Day of Month' field value,请输入'重复每天月的指定天'字段值
Please enter Account Receivable/Payable group in company master,请在公司主数据中输入应收帐款/应付帐款组
Please enter Approving Role or Approving User,请输入审批角色或审批用户
Please enter BOM for Item {0} at row {1},请输入第{1}行商品{0}的BOM(物料清单)
Please enter Company,请输入公司
Please enter Cost Center,请输入成本中心
Please enter Delivery Note No or Sales Invoice No to proceed,请输入送货单号或销售发票号码进行处理
Please enter Employee Id of this sales parson,请输入此销售的员工号
Please enter Expense Account,请输入费用帐户
Please enter Item Code to get batch no,请输入产品编号以获得批号
Please enter Item Code.,请输入产品编号
Please enter Item first,请先输入商品
Please enter Maintaince Details first,请先输入维保详情
Please enter Master Name once the account is created.,账号创建后请输入数据名称
Please enter Planned Qty for Item {0} at row {1},请在第{1}行输入商品{0}计划的数量
Please enter Production Item first,请先输入生产项
Please enter Purchase Receipt No to proceed,请输入外购入库单进行处理
Please enter Reference date,请输入参考日期
Please enter Warehouse for which Material Request will be raised,请输入物料申请会从哪个仓库获得
Please enter Write Off Account,请输入核销帐户
Please enter atleast 1 invoice in the table,请在表中至少输入一个发票信息
Please enter company first,请先输入公司
Please enter company name first,请先输入公司名称
Please enter default Unit of Measure,请输入默认的计量单位
Please enter default currency in Company Master,请在公司主数据中输入默认货币
Please enter email address,请输入您的电子邮件地址
Please enter item details,请输入商品细节
Please enter message before sending,在发送前请填写消息
Please enter parent account group for warehouse account,请输入仓库帐户父帐户组
Please enter parent cost center,请输入父成本中心
Please enter quantity for Item {0},请输入商品{0}的数量
Please enter relieving date.,请输入解除日期
Please enter sales order in the above table,请在上述表中输入销售订单
Please enter valid Company Email,请输入有效的公司电邮地址
Please enter valid Email Id,请输入有效的电子邮件Id
Please enter valid Personal Email,请输入有效的个人电子邮件
Please enter valid mobile nos,请输入有效的手机号
Please install dropbox python module,请安装Dropbox的Python模块
Please mention no of visits required,请注明需要访问次数
Please pull items from Delivery Note,请从发货单中提取商品信息
Please save the Newsletter before sending,请在发送之前保存简讯
Please save the document before generating maintenance schedule,在产生维护计划之前请保存文档
Please select Account first,请先选择账户
Please select Bank Account,请选择银行帐户
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,如果你想让上一财年的余额留到下一财年请选择Carry Forward
Please select Category first,请先选择分类
Please select Charge Type first,请先选择缴费类型
Please select Fiscal Year,请选择会计年度(财年)
Please select Group or Ledger value,请选择组或分类账
Please select Incharge Person's name,请选择Incharge人的名字
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Sales BOM",请将商品"是库存中商品"选择为否并将"是可销售商品"选择为是;并且没有其它销售的物料清单
Please select Price List,请选择价格表
Please select Start Date and End Date for Item {0},请选择商品{0}开始日期和结束日期
Please select a csv file,请选择一个csv文件
Please select a valid csv file with data,请选择一个有效csv数据文件
Please select a value for {0} quotation_to {1},请选择报价给{1}的值{0}
"Please select an ""Image"" first",请先选择一个图像
Please select charge type first,请选择缴费类型
Please select company first.,请先选择一个公司
Please select item code,请先选择商品编码
Please select month and year,请先选择年份和月份
